DPFWGS005-10	54802118 + 0 duplicates
DPFWGS005-11	87981410 + 0 duplicates
DPFWGS005-12	74175453 + 0 duplicates
DPFWGS005-13	51861533 + 0 duplicates
DPFWGS005-14	59138702 + 0 duplicates
DPFWGS005-15	65322057 + 0 duplicates
DPFWGS005-16	85359086 + 0 duplicates
DPFWGS005-17	58710524 + 0 duplicates
DPFWGS005-18	62515886 + 0 duplicates
DPFWGS005-19	51350138 + 0 duplicates
DPFWGS005-1	40129645 + 0 duplicates
DPFWGS005-20	25689164 + 0 duplicates
DPFWGS005-21	27280122 + 0 duplicates
DPFWGS005-22	27436170 + 0 duplicates
DPFWGS005-23	25345428 + 0 duplicates
DPFWGS005-24	24805218 + 0 duplicates
DPFWGS005-25	28474571 + 0 duplicates
DPFWGS005-26	23166077 + 0 duplicates
DPFWGS005-27	18714897 + 0 duplicates
DPFWGS005-28	25254763 + 0 duplicates
DPFWGS005-29	28239522 + 0 duplicates
DPFWGS005-2	55937734 + 0 duplicates
DPFWGS005-30	29425586 + 0 duplicates
DPFWGS005-31	34078798 + 0 duplicates
DPFWGS005-32	25946197 + 0 duplicates
DPFWGS005-33	28763111 + 0 duplicates
DPFWGS005-34	27760790 + 0 duplicates
DPFWGS005-35	22973561 + 0 duplicates
DPFWGS005-36	36400298 + 0 duplicates
DPFWGS005-37	34645056 + 0 duplicates
DPFWGS005-38	30990875 + 0 duplicates
DPFWGS005-39	30054903 + 0 duplicates
DPFWGS005-3	59953472 + 0 duplicates
DPFWGS005-40	28387538 + 0 duplicates
DPFWGS005-41	37998609 + 0 duplicates
DPFWGS005-42	27520071 + 0 duplicates
DPFWGS005-43	31170334 + 0 duplicates
DPFWGS005-44	34040147 + 0 duplicates
DPFWGS005-45	49848133 + 0 duplicates
DPFWGS005-46	38102757 + 0 duplicates
DPFWGS005-47	36278311 + 0 duplicates
DPFWGS005-48	42414056 + 0 duplicates
DPFWGS005-49	62168778 + 0 duplicates
DPFWGS005-4	54045444 + 0 duplicates
DPFWGS005-50	75089470 + 0 duplicates
DPFWGS005-51	48976422 + 0 duplicates
DPFWGS005-52	31365606 + 0 duplicates
DPFWGS005-53	38427997 + 0 duplicates
DPFWGS005-54	25835135 + 0 duplicates
DPFWGS005-55	33107073 + 0 duplicates
DPFWGS005-56	33790117 + 0 duplicates
DPFWGS005-57	29047003 + 0 duplicates
DPFWGS005-58	33821635 + 0 duplicates
DPFWGS005-59	44326983 + 0 duplicates
DPFWGS005-5	54793447 + 0 duplicates
DPFWGS005-60	33611691 + 0 duplicates
DPFWGS005-61	44567533 + 0 duplicates
DPFWGS005-62	29328003 + 0 duplicates
DPFWGS005-63	28462443 + 0 duplicates
DPFWGS005-64	29316684 + 0 duplicates
DPFWGS005-65	39227150 + 0 duplicates
DPFWGS005-66	59557316 + 0 duplicates
DPFWGS005-67	39066482 + 0 duplicates
DPFWGS005-68	29751927 + 0 duplicates
DPFWGS005-69	43300291 + 0 duplicates
DPFWGS005-6	42915325 + 0 duplicates
DPFWGS005-70	44338502 + 0 duplicates
DPFWGS005-7	79626649 + 0 duplicates
DPFWGS005-8	66310472 + 0 duplicates
DPFWGS005-9	51699121 + 0 duplicates
