DPFWGS005-10	Average =  31.6345	Stdev =  86.2137
DPFWGS005-11	Average =  45.0154	Stdev =  127.255
DPFWGS005-12	Average =  38.7592	Stdev =  107.27
DPFWGS005-13	Average =  29.7682	Stdev =  94.3994
DPFWGS005-14	Average =  30.7928	Stdev =  125.519
DPFWGS005-15	Average =  32.8693	Stdev =  136.66
DPFWGS005-16	Average =  40.4268	Stdev =  203.3
DPFWGS005-17	Average =  31.7636	Stdev =  97.2343
DPFWGS005-18	Average =  32.3961	Stdev =  93.7514
DPFWGS005-19	Average =  28.1379	Stdev =  77.3528
DPFWGS005-1	Average =  28.8016	Stdev =  78.6003
DPFWGS005-20	Average =  33.5045	Stdev =  97.5482
DPFWGS005-21	Average =  37.7097	Stdev =  102.898
DPFWGS005-22	Average =  37.4487	Stdev =  100.732
DPFWGS005-23	Average =  35.3003	Stdev =  92.8193
DPFWGS005-24	Average =  32.6169	Stdev =  90.0169
DPFWGS005-25	Average =  37.2302	Stdev =  93.4211
DPFWGS005-26	Average =  31.039	Stdev =  85.4052
DPFWGS005-27	Average =  28.5863	Stdev =  79.5173
DPFWGS005-28	Average =  35.8805	Stdev =  94.5554
DPFWGS005-29	Average =  36.5165	Stdev =  91.2619
DPFWGS005-2	Average =  30.8623	Stdev =  127.897
DPFWGS005-30	Average =  37.8435	Stdev =  106.975
DPFWGS005-31	Average =  40.9917	Stdev =  106.922
DPFWGS005-32	Average =  34.8506	Stdev =  97.7747
DPFWGS005-33	Average =  38.0534	Stdev =  99.9274
DPFWGS005-34	Average =  34.1382	Stdev =  89.4338
DPFWGS005-35	Average =  33.3412	Stdev =  83.7908
DPFWGS005-36	Average =  45.6317	Stdev =  124.539
DPFWGS005-37	Average =  43.9997	Stdev =  117.551
DPFWGS005-38	Average =  40.7064	Stdev =  108.495
DPFWGS005-39	Average =  38.0937	Stdev =  102.64
DPFWGS005-3	Average =  37.2708	Stdev =  103.783
DPFWGS005-40	Average =  33.6052	Stdev =  95.3083
DPFWGS005-41	Average =  47.4781	Stdev =  108.636
DPFWGS005-42	Average =  36.6485	Stdev =  93.3974
DPFWGS005-43	Average =  39.2523	Stdev =  111.631
DPFWGS005-44	Average =  40.7688	Stdev =  119.747
DPFWGS005-45	Average =  48.3773	Stdev =  143.085
DPFWGS005-46	Average =  42.6498	Stdev =  123.75
DPFWGS005-47	Average =  40.5867	Stdev =  120.062
DPFWGS005-48	Average =  44.9617	Stdev =  142.359
DPFWGS005-49	Average =  55.7604	Stdev =  148.263
DPFWGS005-4	Average =  35.094	Stdev =  97.6502
DPFWGS005-50	Average =  69.0475	Stdev =  197.994
DPFWGS005-51	Average =  50.7324	Stdev =  135.174
DPFWGS005-52	Average =  34.4453	Stdev =  104.028
DPFWGS005-53	Average =  32.8694	Stdev =  97.8837
DPFWGS005-54	Average =  30.1318	Stdev =  84.7613
DPFWGS005-55	Average =  31.7913	Stdev =  101.168
DPFWGS005-56	Average =  32.8334	Stdev =  107.028
DPFWGS005-57	Average =  33.9082	Stdev =  87.9667
DPFWGS005-58	Average =  32.2948	Stdev =  98.6252
DPFWGS005-59	Average =  46.0862	Stdev =  112.934
DPFWGS005-5	Average =  35.8007	Stdev =  96.1992
DPFWGS005-60	Average =  36.7769	Stdev =  109.347
DPFWGS005-61	Average =  44.6118	Stdev =  117.904
DPFWGS005-62	Average =  34.2569	Stdev =  111.777
DPFWGS005-63	Average =  30.1844	Stdev =  85.6992
DPFWGS005-64	Average =  32.5789	Stdev =  93.2704
DPFWGS005-65	Average =  33.9543	Stdev =  105.35
DPFWGS005-66	Average =  55.2727	Stdev =  149.236
DPFWGS005-67	Average =  40.6664	Stdev =  122.948
DPFWGS005-68	Average =  35.2996	Stdev =  92.4694
DPFWGS005-69	Average =  29.4259	Stdev =  123.93
DPFWGS005-6	Average =  30.1614	Stdev =  83.5356
DPFWGS005-70	Average =  42.8628	Stdev =  109.506
DPFWGS005-7	Average =  44.0655	Stdev =  127.564
DPFWGS005-8	Average =  38.6633	Stdev =  104.103
DPFWGS005-9	Average =  30.103	Stdev =  82.4801
