DPFWGS005-71	42785438 + 0 duplicates
DPFWGS005-72	37584827 + 0 duplicates
DPFWGS005-73	45355052 + 0 duplicates
DPFWGS005-74	30595952 + 0 duplicates
DPFWGS005-75	42279087 + 0 duplicates
DPFWGS005-76	41440899 + 0 duplicates
DPFWGS005-77	42269855 + 0 duplicates
DPFWGS005-78	37399303 + 0 duplicates
DPFWGS005-79	46246809 + 0 duplicates
DPFWGS005-80	27168476 + 0 duplicates
DPFWGS005-81	29034997 + 0 duplicates
DPFWGS005-82	50969049 + 0 duplicates
DPFWGS005-83	42432288 + 0 duplicates
DPFWGS005-84	61731646 + 0 duplicates
DPFWGS005-85	39034488 + 0 duplicates
DPFWGS005-86	34635106 + 0 duplicates
DPFWGS005-87	27050281 + 0 duplicates
DPFWGS005-88	37798015 + 0 duplicates
DPFWGS005-89	45195857 + 0 duplicates
DPFWGS005-90	45876482 + 0 duplicates
DPFWGS005-91	38396435 + 0 duplicates
DPFWGS005-92	24959095 + 0 duplicates
DPFWGS005-93	49984022 + 0 duplicates
