DPFWGS005-71	Average =  41.7857	Stdev =  147.116
DPFWGS005-72	Average =  38.7541	Stdev =  128.996
DPFWGS005-73	Average =  44.8982	Stdev =  148.123
DPFWGS005-74	Average =  30.6606	Stdev =  107.845
DPFWGS005-75	Average =  35.5498	Stdev =  120.962
DPFWGS005-76	Average =  39.2937	Stdev =  121.175
DPFWGS005-77	Average =  41.2393	Stdev =  127.934
DPFWGS005-78	Average =  39.1567	Stdev =  143.772
DPFWGS005-79	Average =  42.8327	Stdev =  163.999
DPFWGS005-80	Average =  27.5822	Stdev =  107.944
DPFWGS005-81	Average =  28.0071	Stdev =  119.512
DPFWGS005-82	Average =  50.5836	Stdev =  159.379
DPFWGS005-83	Average =  44.1301	Stdev =  156.645
DPFWGS005-84	Average =  54.9774	Stdev =  155.604
DPFWGS005-85	Average =  38.3036	Stdev =  143.994
DPFWGS005-86	Average =  33.4799	Stdev =  128.206
DPFWGS005-87	Average =  27.499	Stdev =  117.682
DPFWGS005-88	Average =  37.6409	Stdev =  112.508
DPFWGS005-89	Average =  46.7198	Stdev =  147.962
DPFWGS005-90	Average =  44.3089	Stdev =  138.217
DPFWGS005-91	Average =  38.7851	Stdev =  137.66
DPFWGS005-92	Average =  27.5503	Stdev =  106.927
DPFWGS005-93	Average =  46.3179	Stdev =  146.799
